prefix,company_type
AC,Assurance Company for England & Wales
ZC,Unregistered Companies (S 1043 - Not Cos Act) for England & Wales
FC,Overseas Company
GE,European Economic Interest Grouping (EEIG) for England & Wales
LP,Limited Partnership for England & Wales
OC,Limited Liability Partnership for England & Wales
SE,European Company (Societas Europaea) for England & Wales
SA,Assurance Company for Scotland
SZ,Unregistered Companies (S 1043 Not Cos Act) for Scotland
SF,Overseas Company regd in Scotland (pre 1/10/09)
GS,European Economic Interest Grouping (EEIG) for Scotland
SL,Limited Partnership for Scotland
SO,Limited Liability Partnership for Scotland
SC,Scottish Company
ES,European Company (Societas Europaea) for Scotland
NA,Assurance Company for Northern Ireland
NZ,Unregistered Companies (S 1043 Not Cos Act) for Northern Ireland
NF,Overseas Company regd in Northern Ireland (pre 1/10/09)
GN,European Economic Interest Grouping (EEIG) for Northern Ireland
NL,Limited Partnership for Northern Ireland
NC,Limited Liability Partnership for Northern Ireland
R0,Northern Ireland Company (pre partition)
NI,Northern Ireland Company (post partition)
EN,European Company (Societas Europaea) for Northern Ireland
IP,Industrial & Provident Company
SP,Scottish Industrial/Provident Company
IC,ICVC (Investment Company with Variable Capital)
SI,Scottish ICVC (Investment Company with Variable Capital)
NP,Northern Ireland Industrial/Provident Company or Credit Union
NV,Northern Ireland ICVC (Investment Company with Variable Capital)
RC,Royal Charter Companies (English/Wales)
SR,Scottish Royal Charter Companies
NR,Northern Ireland Royal Charter Companies
NO,Northern Ireland Credit Union Industrial/Provident Society
